ensembl_gene_id	chromosome_name	external_gene_name	A	A	A	A	A	B	B	B	B	B
ENSG00000003756	3	RBM5	5,992408945	6,104662037	6,133210956	6,837920719	6,021366222	6,492525729	6,678760155	6,277060732	6,541851321	6,515992776
ENSG00000003987	8	MTMR7	0,797924118	1,878819599	2,044179787	2,141233633	2,570833557	-0,343240034	0,795679514	-0,633619641	0,487108846	-0,953711993
ENSG00000003989	8	SLC7A2	3,754478832	3,472057711	4,010665018	4,50205513	3,384579131	4,25472819	4,303609322	4,061520678	4,109068146	4,503503747
ENSG00000004059	7	ARF5	-1,134572453	-1,171287913	-1,445886446	-0,137099667	-1,445886446	-0,700301629	-1,150326491	-0,521030728	-0,870120622	0,205890167
ENSG00000004139	17	SARM1	2,580217583	2,910488628	3,035364609	3,336537726	2,725304649	3,128902275	2,716000451	2,931235329	2,87836824	2,625084114
ENSG00000004142	17	POLDIP2	5,8969062	5,768366888	5,884870639	5,793865579	5,852071143	6,318033298	6,183305808	5,818365277	6,304621335	6,196907022
ENSG00000004399	3	PLXND1	3,663615543	4,537564671	4,55372074	4,126281023	4,667241111	3,875889045	4,023522938	3,069772952	4,12677119	3,607778742
ENSG00000004455	1	AK2	7,493743845	7,641139671	7,398510927	7,481887808	7,266776174	7,677287658	7,755094674	8,164884506	7,571785444	7,726331237
ENSG00000004468	4	CD38	-0,21245702	-0,167623678	0,000415052	-0,947647779	-1,124821576	-0,700301629	-0,04280861	-1,143735793	-0,664742058	-0,553414503
ENSG00000004478	12	FKBP4	7,01131997	6,917888541	6,818727562	6,666643786	6,805655719	6,540873128	6,811909442	6,885407558	6,705730875	6,742562022
ENSG00000004487	1	KDM1A	4,534884492	4,448705429	4,684928138	5,208247834	4,78443109	5,237413949	5,422863288	5,264945614	5,252543862	5,320768519
ENSG00000004534	3	RBM6	6,814118924	6,760407298	6,646226027	6,850299292	6,92141973	6,976352507	7,027290526	7,100427127	6,819971034	6,993264557
ENSG00000004660	17	CAMKK1	4,279610568	4,446333757	4,34398462	4,650432839	4,897667542	4,92268634	5,0273382	4,517357505	5,119658393	4,780721737
ENSG00000004700	12	RECQL	4,079089303	3,443394765	3,660441562	3,966088712	3,792978029	3,516212001	3,512612303	3,206005974	3,847957604	3,811186722
ENSG00000004766	7	VPS50	3,731117473	3,154069503	2,923469168	3,791613451	3,813462477	4,132094978	3,989809819	3,79815975	3,543403785	4,05810379
ENSG00000004776	19	HSPB6	-1,122322004	-0,872391066	-0,658333121	-0,231249892	-0,62150893	-1,445886446	-0,657507324	-0,521645256	0,100449077	-1,158612783
ENSG00000004777	19	ARHGAP33	2,858821909	3,742604585	3,477780768	2,702694082	3,781626809	2,234522357	3,338913468	1,494884235	2,91959086	2,249026839
ENSG00000004779	16	NDUFAB1	6,538292428	6,89310981	6,818357409	6,539376857	7,074914233	7,676573962	7,683353273	7,912151303	7,533350496	7,857136828
ENSG00000004799	7	PDK4	0,228414397	0,196918172	-0,049342376	-0,005817749	-1,445886446	-1,180550653	-1,150326491	-1,143444584	-1,445886446	-0,794323295
ENSG00000004838	3	ZMYND10	1,73386796	2,301954576	1,951030691	1,231529078	0,850837064	1,081737559	0,047928462	1,508242198	0,535457579	0,609267009
ENSG00000004846	7	ABCB5	0,466279388	-0,673982717	-0,291203796	0,330434862	-0,419331458	-0,554663392	0,135629961	-1,143444584	-0,664742058	0,449094525
ENSG00000004848	X	ARX	0,311800248	0,727327376	1,249637366	1,94072138	1,446721527	0,32462743	1,972283037	-1,143444584	1,609642075	-0,495065781
ENSG00000004864	7	SLC25A13	5,414702502	5,344103494	5,337004574	5,611210881	5,307443572	5,883262829	5,700013458	6,071139115	5,296089618	5,669047688
ENSG00000004866	7	ST7	4,758567452	4,676655334	4,91776998	5,440546453	5,082550481	5,063484283	4,90649498	4,628051277	4,66072339	5,233251712
ENSG00000004897	17	CDC27	5,884936479	5,857510451	5,72950742	6,078112191	6,007791287	6,658935552	6,639352044	6,147538874	6,631995978	6,505478198
ENSG00000004939	17	SLC4A1	0,40414056	0,696482901	-0,160183467	-0,297710931	-0,243976729	-1,445886446	-1,158184466	-1,445886446	0,196236631	-0,495065781
ENSG00000004961	X	HCCS	4,967199463	5,408238093	5,53305956	5,745203467	5,329474133	5,823388608	5,825057596	6,452439418	5,934094815	6,155545728
ENSG00000004975	17	DVL2	6,110186159	6,083412817	5,836402415	5,56530382	6,354089996	5,852615889	5,904573071	5,594751912	5,609703568	5,490731612
ENSG00000005007	19	UPF1	6,97700491	6,903494914	6,83337529	6,425809191	6,804670978	6,587790681	6,872972515	6,584623144	6,750521577	6,95295491
ENSG00000005020	7	SKAP2	5,578592851	6,009307731	5,783168771	5,697139322	5,537820144	5,701300415	5,925623738	5,791521653	5,219950859	5,686320724
ENSG00000005022	X	SLC25A5	7,074904114	6,557975452	7,584431707	8,577518728	7,674608413	8,287251661	7,936481409	8,16390252	7,958694905	8,790782681
ENSG00000005059	4	MCUB	4,251711817	4,49048162	4,592941257	4,594392384	4,855096946	4,858255189	5,359409645	5,114973738	5,201743329	5,148681845
ENSG00000005073	7	HOXA11	3,564318847	3,46184765	3,682846721	3,350642174	4,257698501	4,685433233	4,806924867	5,289751128	4,038321703	5,214576755
ENSG00000005075	7	POLR2J	5,846099957	6,09923813	5,818845272	5,64507143	5,918101744	6,049754132	6,246390706	6,208937258	5,914481975	6,049483793
ENSG00000005100	17	DHX33	3,60023407	3,713498525	3,634568867	2,908110793	3,987114644	3,93517137	3,906561237	3,854130174	3,986320978	3,761853565
ENSG00000005102	17	MEOX1	-1,445886446	-0,167623678	-1,155877645	-0,661271928	-0,452344463	-0,834544579	-1,445886446	-0,634194293	-0,552826203	0,497866279
ENSG00000005108	7	THSD7A	0,992905947	1,522912096	1,253988702	1,819361414	0,100997402	0,872727893	-0,288934873	2,060428207	0,693551919	0,049515258
ENSG00000005156	17	LIG3	5,308203101	5,262706351	5,412069209	5,361746581	5,234928722	5,736915945	5,711304047	5,572913546	5,910503706	5,75354294
ENSG00000005175	12	RPAP3	5,274587563	5,202198409	5,065653191	5,320234401	5,417139831	4,612368066	4,987588316	4,946565783	5,397856753	5,100599918
ENSG00000005187	16	ACSM3	2,105961894	2,260775278	2,650832616	2,111140651	2,412672299	2,476293395	2,270931796	1,377139655	2,298015042	2,474003127
ENSG00000005189	16	REXO5	2,802937641	3,383190283	2,726842478	2,595440665	3,21697	2,971911458	3,299641025	3,476341426	3,050786879	3,189200382
ENSG00000005194	16	CIAPIN1	5,349202976	5,223748771	4,891203665	4,849453204	4,896862308	5,230497022	5,237409693	5,674621647	5,472893152	5,486380034
ENSG00000005206	19	SPPL2B	5,768223831	5,624044338	5,484427289	5,181231459	5,605555363	5,164961099	5,310141357	4,87750466	5,2235784	5,476690458
ENSG00000005238	9	FAM214B	-0,811008011	0,185706744	0,046713709	0,004503135	-0,353628075	-0,665022585	0,429130197	-0,930996636	-0,263825628	0,205890167
ENSG00000005243	17	COPZ2	-1,134572453	-0,528530473	-1,154621261	-1,445886446	-0,565041599	-1,180550653	-0,941273303	-1,445886446	-1,158340456	-0,953711993
ENSG00000005249	7	PRKAR2B	3,558450111	3,976030059	4,212260943	3,72289274	4,015144905	4,193749493	4,131189582	4,003180666	3,512821188	4,264333117
ENSG00000005302	X	MSL3	3,433381997	3,868886137	3,140643362	3,494898712	3,391653104	3,362000013	3,470369442	3,703909996	3,895338151	3,692541969
ENSG00000005339	16	CREBBP	7,420745913	7,189756999	7,222454802	7,247587358	7,041724733	6,913681365	6,871599583	6,57512686	6,687450725	6,749611213
ENSG00000005379	17	TSPOAP1	-1,445886446	-1,171287913	-1,445886446	-1,445886446	-0,469879885	-0,708757719	-1,445886446	-1,445886446	-1,158340456	-0,953711993
ENSG00000005436	2	GCFC2	4,76937284	4,579849908	4,423977964	4,518941179	4,239972358	5,085750819	4,843090634	4,864711322	5,052613757	5,171481657
ENSG00000005448	2	WDR54	5,296055518	5,938003882	5,759247283	4,940752562	5,887642664	6,058773338	6,29434671	6,489066633	6,539077205	6,335511193
ENSG00000005469	7	CROT	2,624422964	3,016629885	1,595924251	2,816719111	2,644678278	1,978835455	2,092442774	2,890403349	2,256126716	2,5170203
ENSG00000005471	7	ABCB4	4,464051365	2,979032661	3,960905921	3,991685655	3,83551091	2,66674296	2,587747872	2,709946887	2,254062811	2,864759819
ENSG00000005483	7	KMT2E	6,770566725	6,712898076	6,701550993	6,595700323	6,677930171	6,919877602	7,121340747	6,500517277	6,616426277	6,699393219
ENSG00000005486	7	RHBDD2	5,977330243	5,719862733	5,543004631	5,568534247	5,960604293	5,144168534	5,505370905	5,450802189	4,75534392	5,300536641
ENSG00000005513	16	SOX8	3,411960858	3,540535739	3,602482731	3,400685304	3,879877778	3,362140177	3,404159435	3,351493347	3,14557548	3,552171867
ENSG00000005700	6	IBTK	5,864866563	6,302347912	5,737939736	5,714039873	5,547677146	6,141024612	6,164117783	6,452123388	6,545872293	6,312069136
ENSG00000005801	11	ZNF195	4,54094137	4,162083929	4,302921069	4,071423823	4,0894005	4,67220922	4,787087929	5,192820635	4,900437693	5,123327945
ENSG00000005810	13	MYCBP2	6,105769292	5,952984262	6,036199858	6,115310794	5,832023404	6,113999952	6,02896951	5,667571588	5,735097667	5,707628337
ENSG00000005812	13	FBXL3	4,55342097	4,157685829	4,502628781	4,848760639	4,25248684	4,632972169	4,379717172	4,497103244	4,622900513	4,85466824
ENSG00000005844	16	ITGAL	4,53166432	4,927067685	4,514178001	3,915692837	3,968216568	3,741352053	3,493624099	4,909314396	4,261438646	3,780662765
ENSG00000005882	17	PDK2	3,478261669	3,02068684	3,309092332	3,644080979	3,497434145	3,793501903	3,777720492	3,335669542	4,560028228	3,701970939
ENSG00000005884	17	ITGA3	2,76044876	3,198694492	2,376471041	2,832614683	3,110272142	1,2562559	1,797374598	0,662925761	1,951694896	1,156927022
ENSG00000005889	X	ZFX	5,815678887	5,921229607	5,952317091	5,939249242	5,819556327	5,759086774	5,84775957	5,694526439	6,188243799	6,049256612
ENSG00000005893	X	LAMP2	5,600419662	5,79080774	6,050107635	6,410099391	5,796323621	6,042864541	5,749808631	6,083207715	5,70641303	6,086893359
ENSG00000005961	17	ITGA2B	2,722691203	3,261070947	3,026390767	2,869312997	3,299240409	2,853808954	3,815333657	2,948262153	3,13526321	2,708130163
ENSG00000006007	16	GDE1	6,919663786	6,99247924	6,833450229	6,637748041	6,86141075	6,772696631	6,864803678	7,068535534	6,96159059	7,049511442
ENSG00000006015	19	REX1BD	5,078827884	5,291308509	5,236459935	4,777218843	5,01908442	5,692713994	5,757496862	5,588865946	5,683499666	5,437555539
ENSG00000006016	19	CRLF1	4,651392315	5,321053623	5,582466151	4,966900116	6,309411403	5,569512977	5,883137225	3,886475531	5,751686325	4,120617904
ENSG00000006025	17	OSBPL7	2,232923225	2,636341072	0,830195135	1,924983116	2,774274851	1,612380308	1,971973891	1,187659087	3,342043558	1,131128974
ENSG00000006042	17	TMEM98	6,176326021	6,015830951	6,134001108	6,172477763	6,622448921	6,523768189	6,560122109	5,746094601	6,553029237	6,382333355
ENSG00000006062	17	MAP3K14	4,442381972	5,022278824	4,435525429	4,022250983	3,99482381	3,509324981	3,14829313	3,117421951	3,73445962	3,261649048
ENSG00000006071	11	ABCC8	2,832520451	2,993525619	2,545383109	2,837160652	3,561327141	2,540930836	2,50444966	1,480873431	2,187313518	1,934555687
ENSG00000006116	16	CACNG3	0,914986732	1,662098034	0,568368654	-0,868203088	-0,295909671	-0,495693027	-1,445886446	-0,931430517	-0,661953351	-0,553414503
ENSG00000006118	11	TMEM132A	3,911577768	3,592747285	3,900733966	3,652930916	3,752490718	3,572020325	3,575400829	4,188435606	3,783697268	3,901636076
ENSG00000006125	17	AP2B1	7,148330106	7,272257591	7,104295563	7,033555496	7,297708018	7,357137792	7,345548845	7,096501001	7,78929597	7,219638454
ENSG00000006128	7	TAC1	0,605875728	-1,445886446	-1,445886446	1,702378446	0,781159376	0,506674086	0,213360682	-0,633619641	0,522022306	-0,369940872
ENSG00000006194	16	ZNF263	4,0350539	4,089993455	4,113025739	4,365393378	4,030632575	4,383595818	3,814684744	4,290282859	4,324950542	4,360589732
ENSG00000006210	16	CX3CL1	-1,134572453	-0,390728403	0,207882036	-1,15457894	-0,674692944	-0,206133711	-0,535627777	0,586295333	-1,445886446	-0,864695416
ENSG00000006282	17	SPATA20	2,520013412	3,082828168	3,001434422	3,036661561	2,976217549	1,848591825	2,324489886	2,035698631	2,670062269	1,789355755
ENSG00000006283	17	CACNA1G	2,021594585	2,374982069	2,800443435	2,056859659	3,216097689	1,631084464	1,795506866	0,662925761	0,702487229	1,08224913
ENSG00000006327	16	TNFRSF12A	1,216939132	0,93429245	2,123913513	2,975975793	1,908052535	0,29093247	0,067601363	1,036680472	0,522022306	1,711539857
ENSG00000006377	7	DLX6	2,644988094	3,4850997	2,952829687	1,796536708	2,683054046	2,976282761	2,952503228	3,36691298	2,987050343	2,978232243
ENSG00000006432	14	MAP3K9	3,86358146	3,994347862	3,681980346	3,623464185	3,881873103	2,386751465	3,099717641	2,80841501	2,548908414	3,310720313
ENSG00000006451	7	RALA	6,837570866	6,965803014	6,622059421	6,960260981	6,69312183	6,36223711	6,39877923	6,751986225	6,063608162	6,663915251
ENSG00000006453	7	BAIAP2L1	6,800158539	6,96818117	6,758036394	6,614743995	6,742378264	6,673849141	6,507914101	6,585982254	6,273808976	6,336424283
ENSG00000006459	7	KDM7A	3,94947734	3,820959485	3,719063136	4,333055585	3,57541242	3,720157873	3,517612557	3,46802112	3,070281906	3,990846367
ENSG00000006468	7	ETV1	0,552376755	-0,773415093	0,111690163	0,698446859	-0,565041599	-0,495693027	-0,862624512	-0,634194293	-1,157666611	0,001027335
ENSG00000006530	7	AGK	4,200381808	4,252759429	4,436749763	4,661713921	4,186948052	4,886095167	5,247336443	4,736995961	4,645322577	5,052979892
ENSG00000006534	11	ALDH3B1	0,213545597	1,753271584	1,20621453	2,203717454	2,595939259	1,51392077	2,209836893	1,226085597	2,081701728	1,174392706
ENSG00000006555	1	TTC22	-0,292654465	-0,012181617	-0,787112795	-0,665668109	0,401081945	-1,180550653	-1,445886446	-1,445886446	-0,953302058	-1,445886446
ENSG00000006576	7	PHTF2	5,399387906	5,211428603	5,371830692	5,36175186	5,397175945	5,405311887	5,62088979	5,610672406	5,108775826	5,508736
ENSG00000006606	7	CCL26	1,071255967	2,376968578	1,727507196	-0,374360603	1,57003933	0,350982736	0,343913085	0,290661424	0,617941103	0,131492391
ENSG00000006607	2	FARP2	5,29334283	4,888748417	5,352929515	5,273772934	5,352045825	5,817261734	5,581060982	5,999890688	5,181684131	5,82270019
ENSG00000006611	11	USH1C	2,035431222	2,159965459	2,390613523	2,515859401	3,377845677	2,510798763	2,275416271	1,851942129	2,200687847	1,97222725
ENSG00000006625	7	GGCT	6,859968647	7,162130111	7,177598705	7,189184693	7,166286672	7,481402048	7,439214123	7,499316979	7,18294526	7,666316564
ENSG00000006634	7	DBF4	3,96016259	3,897106509	3,956942989	3,892407914	4,244717105	4,47380196	4,59854371	4,581920811	3,933913152	4,500223583
ENSG00000006638	19	TBXA2R	2,681731045	3,388712372	3,031155387	2,167457993	3,092177595	2,881458629	3,31239936	2,597245769	3,331983948	2,408928171
ENSG00000006652	7	IFRD1	5,536769994	5,106114077	5,296143694	5,514879692	5,363100884	4,827172984	5,03445325	5,040257216	4,888090357	5,481671833
ENSG00000006695	17	COX10	4,257839323	4,040329347	4,052701969	4,459299201	4,585834487	4,826230193	4,718431312	4,529593396	4,969422771	4,51698691
ENSG00000006704	7	GTF2IRD1	6,153206138	6,265818756	6,373605446	6,414768824	6,036097984	6,00884853	5,897638181	5,925713771	5,42318309	5,85601058
ENSG00000006712	19	PAF1	5,619258846	5,734560332	5,567282594	5,523342265	5,69659929	5,584140157	5,759454425	5,619222742	5,926152291	5,449460691
ENSG00000006715	7	VPS41	4,324594383	4,723057129	4,52219041	4,450894479	5,097338274	5,113759451	5,010384517	4,725796723	4,77188824	5,151198233
ENSG00000006740	17	ARHGAP44	5,046245755	5,131260036	4,965058378	5,017736444	4,911893209	4,386747019	4,791607263	4,380744428	4,857498982	4,345537991
ENSG00000006744	17	ELAC2	5,454719064	5,67466873	5,449548017	5,333155754	5,576524275	5,786778904	5,910616183	6,173913489	6,11769062	5,866070332
ENSG00000006747	7	SCIN	-1,445886446	-0,200523956	-0,159602282	-0,787036515	1,239128023	0,382756542	0,339199869	-0,423665424	-0,16796429	-0,292170191
ENSG00000006757	X	PNPLA4	3,95605092	3,986391032	4,64140841	4,293932704	2,50695163	2,755803323	3,483549061	3,581098907	4,638335307	3,528548414
ENSG00000006831	12	ADIPOR2	6,820305958	6,913231582	6,856377614	6,874085814	7,01568864	6,673961777	6,877568504	6,630805756	6,954912238	6,768579134
ENSG00000007001	2	UPP2	0,865375137	1,459988431	1,693965951	0,203079814	0,68009689	-0,095774518	0,135629961	-0,930996636	-0,792611166	-0,451558889
ENSG00000007047	19	MARK4	6,721722452	6,794357952	6,742462743	6,661363572	6,774127471	5,810087287	6,023533102	6,032544472	6,055238253	5,598004329
ENSG00000007080	19	CCDC124	3,645367187	3,553130597	3,508007532	3,771072765	3,699159049	4,055827646	4,192764706	4,582013298	4,04359002	4,476424508
ENSG00000007129	19	CEACAM21	-0,377743013	-0,972879564	-1,445886446	-0,665668109	-1,163970545	-1,445886446	-1,445886446	-0,841293932	-1,445886446	-0,864695416
ENSG00000007168	17	PAFAH1B1	6,836010894	6,703367083	6,614360767	6,886208596	6,815924559	6,865894249	6,961349378	6,319859031	7,196123405	6,800094768
ENSG00000007171	17	NOS2	1,533754003	1,716370027	1,533010213	0,66991006	1,956909296	1,579972963	1,386439188	-0,464940504	1,384122543	0,242893121
ENSG00000007174	17	DNAH9	1,050091473	2,319354615	1,929796816	0,671475533	0,764155234	1,318036352	1,0394425	0,853595601	1,477374965	1,290006323
ENSG00000007202	17	KIAA0100	4,924526863	4,961161379	5,470928472	5,388821431	5,250429352	5,273226405	5,322386556	5,165138869	5,372065077	5,249343735
ENSG00000007216	17	SLC13A2	0,101993742	0,227730722	0,706390386	-0,504642091	-0,315411652	-1,180550653	-0,862624512	-1,143444584	-0,457038649	-1,445886446
ENSG00000007237	17	GAS7	2,526263159	3,133353802	2,981776192	2,780690967	3,482024816	2,827301126	2,707824354	2,314611833	3,019089888	2,846916762
ENSG00000007255	19	TRAPPC6A	4,409803661	4,688947902	4,775818366	3,921196005	4,776703616	5,224344256	4,922260643	4,458617933	5,079925996	4,808298636
ENSG00000007264	19	MATK	2,898376285	3,447678967	3,709772581	2,838646586	3,081279324	3,671218561	3,295165242	4,43485954	3,502875858	3,353307768
ENSG00000007312	17	CD79B	-0,811008011	-0,144966151	-0,451461422	-1,15457894	-1,445886446	-1,445886446	-1,445886446	-1,445886446	-1,445886446	-1,445886446
ENSG00000007314	17	SCN4A	3,118337596	2,567641767	2,351167025	2,326372977	2,733222721	0,631071405	1,294591267	2,732897359	1,213866942	1,915397097
ENSG00000007341	1	ST7L	5,055678194	4,737291843	4,716633048	4,864273119	4,990624393	4,980257375	5,055653237	4,781214503	5,100241778	5,300106623
ENSG00000007350	X	TKTL1	0,020937757	0,24877291	-0,949598305	-0,297710931	0,336159439	-0,314986718	0,438537697	-0,521645256	0,728707586	-0,251861423
ENSG00000007372	11	PAX6	6,226417238	5,161210579	5,149778946	5,876111112	6,164155074	5,969210813	6,091932117	6,202033073	6,380704492	6,282078475
ENSG00000007376	16	RPUSD1	5,123288558	5,223132476	5,272658294	4,358931171	5,130338533	5,277609541	5,173582251	5,741369386	5,537398737	5,39303846
ENSG00000007384	16	RHBDF1	3,939918601	4,552164021	4,045219068	4,036144304	4,453634061	3,360462821	3,591976596	3,496435335	3,710010889	3,851061291
ENSG00000007392	16	LUC7L	5,645826908	5,814363056	5,72230802	5,535442966	6,017587203	5,767583603	5,861887673	5,883125152	6,007892978	5,798155705
ENSG00000007402	3	CACNA2D2	2,005770974	2,548486385	2,944441492	1,856263481	2,122310118	2,104335536	1,341653305	1,814973911	1,315643573	1,351687924
ENSG00000007516	16	BAIAP3	0,451924526	1,761253766	1,22802468	-0,006818179	1,306512557	0,272397349	-0,256929381	0,549324831	-0,50561049	0,137453412
ENSG00000007520	16	TSR3	5,828441181	5,504915569	5,257672052	5,408806893	5,864378283	5,929220983	5,764586632	6,263146716	6,156136924	5,906839176
ENSG00000007541	16	PIGQ	4,586194864	4,710911499	4,744743961	4,040313218	4,37464185	4,098532792	4,512071189	4,444054929	4,181637884	4,28430114
ENSG00000007545	16	CRAMP1	-0,371682029	-1,146989599	-1,154621261	-1,15457894	-0,961793072	-0,458969254	-1,445886446	-0,931430517	-1,158340456	-0,953711993
ENSG00000007866	6	TEAD3	3,550473207	2,803824318	3,279769146	4,085149953	3,348268235	2,804398259	3,050342795	2,998121855	2,767738082	3,497247476
ENSG00000007923	1	DNAJC11	5,370631233	5,328652836	5,335777356	5,100590652	5,537353	5,707326844	5,8155059	6,218757236	5,723281831	5,827032047
ENSG00000007944	6	MYLIP	5,199438764	4,897866349	5,337706112	5,386601263	5,331449421	4,827804671	4,519707167	4,905381878	4,666815838	4,774643876
ENSG00000007968	1	E2F2	5,977046003	5,973539043	6,054175225	5,954008975	5,78150078	4,543857337	4,913588612	4,938265123	5,322328453	4,832775052
ENSG00000008018	6	PSMB1	8,621209442	8,628046989	8,617723387	8,689434194	8,771506791	9,317052725	9,310055962	9,858779242	9,422740446	9,546868247
ENSG00000008056	X	SYN1	-0,28120906	0,022837515	0,111690163	-0,137099667	-0,261591265	-0,834544579	-0,552489336	-0,192664062	-0,263825628	-0,663858239
ENSG00000008083	6	JARID2	7,253917825	7,276738511	7,152742295	7,268819038	7,01778163	7,289651313	7,212109442	7,23586308	7,275998191	7,175785087
